20260208 14:37:09 - MainProcess | MainThread | retriever_vector.lookup_policy:123 - INFO -查询政策: '怎么才能退票呢？'
20260208 14:37:09 - MainProcess | MainThread | retriever_vector.get_retriever:106 - INFO -初始化 Embedding 模型 (Base: https://api.openai.com/v1)...
20260208 14:37:11 - MainProcess | MainThread | retriever_vector.from_docs:36 - INFO -正在初始化向量检索库，共 10 个文档段落...
20260208 14:37:15 - MainProcess | MainThread | retriever_vector.from_docs:43 - ERROR -向量化文档失败，请检查 API Key 或网络连接
20260208 14:37:15 - MainProcess | MainThread | retriever_vector.lookup_policy:146 - ERROR -lookup_policy 执行失败: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-jhfIH***************************************0g5O. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}
20260208 14:42:08 - MainProcess | MainThread | retriever_vector.lookup_policy:123 - INFO -查询政策: '怎么才能退票呢？'
20260208 14:42:08 - MainProcess | MainThread | retriever_vector.get_retriever:106 - INFO -初始化 Embedding 模型 (Base: https://api.openai-proxy.org/v1)...
20260208 14:42:09 - MainProcess | MainThread | retriever_vector.from_docs:36 - INFO -正在初始化向量检索库，共 10 个文档段落...
20260208 14:42:12 - MainProcess | MainThread | retriever_vector.from_docs:40 - SUCCESS -向量库初始化完成。
20260208 14:42:12 - MainProcess | MainThread | retriever_vector.lookup_policy:139 - DEBUG -政策查询 Top1 相似度: 0.8316
20260208 14:45:40 - MainProcess | MainThread | retriever_vector.lookup_policy:124 - INFO -查询政策: '怎么才能退票呢？'
20260208 14:45:40 - MainProcess | MainThread | retriever_vector.get_retriever:106 - INFO -初始化 Embedding 模型 (Base: https://api.openai-proxy.org/v1)...
20260208 14:45:42 - MainProcess | MainThread | retriever_vector.from_docs:36 - INFO -正在初始化向量检索库，共 10 个文档段落...
20260208 14:45:44 - MainProcess | MainThread | retriever_vector.from_docs:40 - SUCCESS -向量库初始化完成。
20260208 14:45:44 - MainProcess | MainThread | retriever_vector.lookup_policy:140 - DEBUG -政策查询 Top1 相似度: 0.427620260221 15:47:20 - MainProcess | MainThread | log_utils.__call__:53 - INFO -开始执行数据库日期重置任务...
20260221 15:47:20 - MainProcess | MainThread | log_utils.__call__:53 - INFO -已连接到数据库: ctrip_assistant
20260221 15:47:20 - MainProcess | MainThread | log_utils.__call__:53 - INFO -检测到数据表: ['aircrafts_data', 'airports_data', 'boarding_passes', 'bookings', 'car_rentals', 'flights', 'hotels', 'seats', 'ticket_flights', 'tickets', 'trip_recommendations']
20260221 15:47:35 - MainProcess | MainThread | log_utils.__call__:53 - INFO -所有表数据读取完成。
20260221 15:47:35 - MainProcess | MainThread | log_utils.__call__:53 - INFO -计算出的时间偏移量: 13 days 05:43:08.535470 (基准时间: 2026-02-08 10:04:27)
20260221 15:47:36 - MainProcess | MainThread | log_utils.__call__:53 - INFO -开始回写数据到数据库...
20260221 15:47:36 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 aircrafts_data 更新完毕 (Rows: 9)
20260221 15:47:36 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 airports_data 更新完毕 (Rows: 115)
20260221 15:47:46 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 boarding_passes 更新完毕 (Rows: 579686)
20260221 15:47:51 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 bookings 更新完毕 (Rows: 262788)
20260221 15:47:51 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 car_rentals 更新完毕 (Rows: 10)
20260221 15:47:53 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 flights 更新完毕 (Rows: 33121)
20260221 15:47:53 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 hotels 更新完毕 (Rows: 10)
20260221 15:47:53 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 seats 更新完毕 (Rows: 1339)
20260221 15:48:14 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 ticket_flights 更新完毕 (Rows: 1045726)
20260221 15:48:20 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 tickets 更新完毕 (Rows: 366733)
20260221 15:48:20 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 trip_recommendations 更新完毕 (Rows: 10)
20260221 15:48:20 - MainProcess | MainThread | log_utils.__call__:53 - INFO -SUCCESS: 数据库日期已成功更新至最新时间。
20260221 16:01:19 - MainProcess | MainThread | log_utils.__call__:53 - INFO -开始执行数据库日期重置任务...
20260221 16:01:19 - MainProcess | MainThread | log_utils.__call__:53 - INFO -已连接到数据库: ctrip_assistant
20260221 16:01:19 - MainProcess | MainThread | log_utils.__call__:53 - INFO -检测到数据表: ['aircrafts_data', 'airports_data', 'boarding_passes', 'bookings', 'car_rentals', 'flights', 'hotels', 'seats', 'ticket_flights', 'tickets', 'trip_recommendations']
20260221 16:01:40 - MainProcess | MainThread | log_utils.__call__:53 - INFO -所有表数据读取完成。
20260221 16:01:40 - MainProcess | MainThread | log_utils.__call__:53 - INFO -计算出的时间偏移量: 0 days 00:14:04.656852 (基准时间: 2026-02-21 15:47:36)
20260221 16:01:41 - MainProcess | MainThread | log_utils.__call__:53 - INFO -开始回写数据到数据库...
20260221 16:01:41 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 aircrafts_data 更新完毕 (Rows: 9)
20260221 16:01:41 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 airports_data 更新完毕 (Rows: 115)
20260221 16:01:50 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 boarding_passes 更新完毕 (Rows: 579686)
20260221 16:01:53 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 bookings 更新完毕 (Rows: 262788)
20260221 16:01:53 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 car_rentals 更新完毕 (Rows: 10)
20260221 16:01:54 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 flights 更新完毕 (Rows: 33121)
20260221 16:01:54 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 hotels 更新完毕 (Rows: 10)
20260221 16:01:54 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 seats 更新完毕 (Rows: 1339)
20260221 16:02:06 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 ticket_flights 更新完毕 (Rows: 1045726)
20260221 16:02:10 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 tickets 更新完毕 (Rows: 366733)
20260221 16:02:10 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 trip_recommendations 更新完毕 (Rows: 10)
20260221 16:02:10 - MainProcess | MainThread | log_utils.__call__:53 - INFO -SUCCESS: 数据库日期已成功更新至最新时间。
20260221 16:04:24 - MainProcess | MainThread | log_utils.__call__:53 - INFO -开始执行数据库日期重置任务...
20260221 16:04:24 - MainProcess | MainThread | log_utils.__call__:53 - INFO -已连接到数据库: ctrip_assistant
20260221 16:04:24 - MainProcess | MainThread | log_utils.__call__:53 - INFO -检测到数据表: ['aircrafts_data', 'airports_data', 'boarding_passes', 'bookings', 'car_rentals', 'flights', 'hotels', 'seats', 'ticket_flights', 'tickets', 'trip_recommendations']
20260221 16:04:38 - MainProcess | MainThread | log_utils.__call__:53 - INFO -所有表数据读取完成。
20260221 16:04:38 - MainProcess | MainThread | log_utils.__call__:53 - INFO -计算出的时间偏移量: 0 days 00:02:57.340138 (基准时间: 2026-02-21 16:01:41)
20260221 16:04:38 - MainProcess | MainThread | log_utils.__call__:53 - INFO -开始回写数据到数据库...
20260221 16:04:39 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 aircrafts_data 更新完毕 (Rows: 9)
20260221 16:04:39 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 airports_data 更新完毕 (Rows: 115)
20260221 16:04:46 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 boarding_passes 更新完毕 (Rows: 579686)
20260221 16:04:49 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 bookings 更新完毕 (Rows: 262788)
20260221 16:04:49 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 car_rentals 更新完毕 (Rows: 10)
20260221 16:04:50 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 flights 更新完毕 (Rows: 33121)
20260221 16:04:50 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 hotels 更新完毕 (Rows: 10)
20260221 16:04:51 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 seats 更新完毕 (Rows: 1339)
20260221 16:05:03 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 ticket_flights 更新完毕 (Rows: 1045726)
20260221 16:05:06 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 tickets 更新完毕 (Rows: 366733)
20260221 16:05:06 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 trip_recommendations 更新完毕 (Rows: 10)
20260221 16:05:06 - MainProcess | MainThread | log_utils.__call__:53 - INFO -SUCCESS: 数据库日期已成功更新至最新时间。
20260221 16:09:51 - MainProcess | MainThread | log_utils.__call__:53 - INFO -开始执行数据库日期重置任务...
20260221 16:09:51 - MainProcess | MainThread | log_utils.__call__:53 - INFO -已连接到数据库: ctrip_assistant
20260221 16:09:51 - MainProcess | MainThread | log_utils.__call__:53 - INFO -检测到数据表: ['aircrafts_data', 'airports_data', 'boarding_passes', 'bookings', 'car_rentals', 'flights', 'hotels', 'seats', 'ticket_flights', 'tickets', 'trip_recommendations']
20260221 16:10:06 - MainProcess | MainThread | log_utils.__call__:53 - INFO -所有表数据读取完成。
20260221 16:10:06 - MainProcess | MainThread | log_utils.__call__:53 - INFO -计算出的时间偏移量: 0 days 00:05:28.385441 (基准时间: 2026-02-21 16:04:38)
20260221 16:10:06 - MainProcess | MainThread | log_utils.__call__:53 - INFO -开始回写数据到数据库...
20260221 16:10:07 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 aircrafts_data 更新完毕 (Rows: 9)
20260221 16:10:07 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 airports_data 更新完毕 (Rows: 115)
20260221 16:10:13 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 boarding_passes 更新完毕 (Rows: 579686)
20260221 16:10:17 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 bookings 更新完毕 (Rows: 262788)
